City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
157,157,Hervey Bay,AU,2019-11-12 05:35:36,-25.3,152.85,82.0,51,0,21.92,clear sky,0.0,0.0
158,158,Codrington,AU,2019-11-12 05:35:37,-28.95,153.24,100.4,7,0,17.22,clear sky,0.0,0.0
159,159,Puerto Escondido,MX,2019-11-12 05:35:37,15.86,-97.07,70.77,93,12,2.71,light rain,0.13,0.0
160,160,Adamas,GR,2019-11-12 05:35:37,36.73,24.43,71.6,49,0,18.34,clear sky,0.0,0.0
161,161,Amapa,HN,2019-11-12 05:35:38,15.09,-87.97,75.2,88,75,2.13,broken clouds,0.0,0.0
162,162,Khor,RU,2019-11-12 05:35:38,47.88,134.96,26.62,51,0,16.89,clear sky,0.0,0.0
163,163,Saint George,GR,2019-11-12 05:35:38,39.45,22.34,59.0,87,75,1.88,broken clouds,0.0,0.0
164,164,Kodiak,US,2019-11-12 05:35:39,39.95,-94.76,12.0,72,1,8.05,clear sky,0.0,0.0
165,165,La Ronge,CA,2019-11-12 05:35:39,55.1,-105.3,8.6,71,40,6.93,scattered clouds,0.0,0.0
166,166,Ponta Do Sol,BR,2019-11-12 05:35:39,-20.63,-46.0,65.1,94,93,2.13,overcast clouds,0.0,0.0
167,167,Tselinnoye,UA,2019-11-12 05:35:39,45.9,34.18,55.15,81,29,3.96,scattered clouds,0.0,0.0
168,168,San Patricio,PY,2019-11-12 05:35:40,-26.98,-56.83,69.04,93,88,5.46,overcast clouds,0.0,0.0
169,169,Salta,AR,2019-11-12 05:35:40,-24.79,-65.41,71.6,88,75,1.25,broken clouds,0.0,0.0
170,170,Srandakan,ID,2019-11-12 05:35:40,-7.94,110.25,88.38,53,57,13.42,broken clouds,0.0,0.0
171,171,Lebu,ET,2019-11-12 05:35:40,8.96,38.73,59.0,67,20,12.75,few clouds,0.0,0.0
172,172,New Norfolk,AU,2019-11-12 05:35:41,-42.78,147.06,55.0,50,75,21.92,light intensity shower rain,0.0,0.0
173,173,Rio Grande,BR,2019-11-12 05:33:25,-32.03,-52.1,64.99,92,56,5.99,broken clouds,0.0,0.0
174,174,Nouakchott,MR,2019-11-12 05:33:04,18.08,-15.98,66.2,29,0,13.87,clear sky,0.0,0.0
175,175,Tarrafal,CV,2019-11-12 05:35:41,15.28,-23.77,75.2,73,20,21.92,few clouds,0.0,0.0
176,176,San Jose,HN,2019-11-12 05:35:41,14.25,-87.96,62.17,95,0,6.38,clear sky,0.0,0.0
177,177,Kieta,PG,2019-11-12 05:35:42,-6.22,155.63,83.91,71,52,9.06,broken clouds,0.0,0.0
178,178,Maputo,MZ,2019-11-12 05:35:07,-25.97,32.57,73.99,94,75,8.05,light rain,0.0,0.0
179,179,Dunedin,NZ,2019-11-12 05:31:05,-45.87,170.5,53.01,53,60,11.99,broken clouds,0.0,0.0
180,180,Vestmanna,FO,2019-11-12 05:35:42,62.16,-7.17,33.8,80,100,9.17,light snow,0.0,0.44
181,181,Lompoc,US,2019-11-12 05:35:42,34.64,-120.46,57.2,100,90,4.7,light rain,0.0,0.0
182,182,Lata,IN,2019-11-12 05:35:42,30.78,78.62,39.9,25,100,6.64,overcast clouds,0.0,0.0
183,183,Hofn,IS,2019-11-12 05:35:43,64.25,-15.21,40.44,69,100,19.26,light snow,0.0,0.19
184,184,Hirara,JP,2019-11-12 05:35:43,24.8,125.28,77.0,60,40,9.17,scattered clouds,0.0,0.0
185,185,Tual,ID,2019-11-12 05:35:44,-5.67,132.75,84.69,64,33,7.61,scattered clouds,0.0,0.0
186,186,Santa Luzia,BR,2019-11-12 05:35:44,-19.77,-43.85,73.4,82,100,10.29,light rain,0.19,0.0
187,187,Saint-Pierre,FR,2019-11-12 05:35:44,48.95,4.24,41.0,100,90,14.99,overcast clouds,0.0,0.0
188,188,Hasaki,JP,2019-11-12 05:35:44,35.73,140.83,73.0,37,20,14.99,few clouds,0.0,0.0
189,189,Cabedelo,BR,2019-11-12 05:35:44,-6.97,-34.84,73.4,88,20,3.36,few clouds,0.0,0.0
190,190,Bambous Virieux,MU,2019-11-12 05:35:44,-20.34,57.76,80.6,74,40,12.75,shower rain,0.0,0.0
191,191,Mehamn,NO,2019-11-12 05:35:45,71.03,27.85,24.8,78,94,6.93,overcast clouds,0.0,0.0
192,192,Luderitz,,2019-11-12 05:35:45,-26.65,15.16,62.6,72,0,6.93,clear sky,0.0,0.0
193,193,Lyuban,BY,2019-11-12 05:35:46,52.8,28.0,37.42,93,19,5.79,few clouds,0.0,0.0
194,194,Thinadhoo,MV,2019-11-12 05:35:46,0.53,72.93,82.8,78,50,11.56,scattered clouds,0.0,0.0
195,195,Gat,SN,2019-11-12 05:35:46,14.69,-16.54,71.6,64,29,14.99,scattered clouds,0.0,0.0
196,196,Victoria,BN,2019-11-12 05:35:46,5.28,115.24,89.6,70,75,10.29,broken clouds,0.0,0.0
197,197,Sobolevo,RU,2019-11-12 05:35:46,54.43,31.9,38.25,89,85,6.62,overcast clouds,0.0,0.0
198,198,Sovetskiy,RU,2019-11-12 05:35:46,56.76,48.47,34.03,96,100,13.31,overcast clouds,0.0,0.0
199,199,Tolaga Bay,NZ,2019-11-12 05:35:47,-38.37,178.3,57.18,63,99,3.4,light rain,0.44,0.0
200,200,Belaya Gora,RU,2019-11-12 05:35:47,68.54,146.19,-3.38,98,87,3.31,overcast clouds,0.0,0.0
201,201,Arica,CL,2019-11-12 05:35:47,-18.48,-70.32,66.2,72,75,2.24,broken clouds,0.0,0.0
202,202,Yarmouth,CA,2019-11-12 05:35:47,43.84,-66.12,48.99,87,90,13.87,overcast clouds,0.0,0.0
203,203,Agadez,NE,2019-11-12 05:35:48,16.97,7.99,75.2,12,14,11.41,few clouds,0.0,0.0
204,204,Cuamba,MZ,2019-11-12 05:35:48,-14.8,36.54,85.08,49,26,5.73,scattered clouds,0.0,0.0
205,205,Russell,US,2019-11-12 05:35:48,38.9,-98.86,8.6,78,1,3.36,clear sky,0.0,0.0
206,206,Nago,IT,2019-11-12 05:35:48,45.88,10.89,52.0,100,75,2.24,broken clouds,0.0,0.0
207,207,New Ulm,US,2019-11-12 05:33:20,44.31,-94.46,8.6,71,1,9.17,clear sky,0.0,0.0
208,208,Huanuco,PE,2019-11-12 05:35:49,-9.93,-76.24,46.6,94,99,1.03,light rain,0.94,0.0
209,209,Hay River,CA,2019-11-12 05:35:49,60.82,-115.79,12.2,85,20,9.17,few clouds,0.0,0.0
210,210,Bonthe,SL,2019-11-12 05:35:49,7.53,-12.5,78.26,85,88,6.38,overcast clouds,0.0,0.0
211,211,Carnarvon,ZA,2019-11-12 05:35:49,-30.97,22.13,63.09,40,0,5.06,clear sky,0.0,0.0
212,212,Gamba,CN,2019-11-12 05:35:49,28.28,88.52,38.7,20,0,4.72,clear sky,0.0,0.0
213,213,Chiguayante,CL,2019-11-12 05:35:49,-36.93,-73.02,55.4,93,90,2.24,overcast clouds,0.0,0.0
214,214,Xining,CN,2019-11-12 05:35:50,36.62,101.77,38.19,41,94,8.12,light snow,0.0,0.13
215,215,Aitape,PG,2019-11-12 05:35:50,-3.15,142.36,82.83,79,100,16.93,overcast clouds,0.0,0.0
216,216,Vila Velha,BR,2019-11-12 05:35:50,-3.71,-38.6,80.6,74,75,13.87,broken clouds,0.0,0.0
217,217,Beckley,US,2019-11-12 05:35:51,37.78,-81.19,51.8,81,90,9.17,light rain,0.0,0.0
218,218,Spornoye,RU,2019-11-12 05:35:51,50.84,37.29,48.2,93,90,4.47,mist,0.0,0.0
219,219,Sinnamary,GF,2019-11-12 05:35:51,5.38,-52.96,81.48,82,51,12.46,broken clouds,0.0,0.0
220,220,Torbay,CA,2019-11-12 05:35:51,47.66,-52.73,36.0,86,75,9.17,broken clouds,0.0,0.0
221,221,Del Rio,US,2019-11-12 05:35:51,29.36,-100.9,39.2,64,90,17.22,light rain,0.0,0.0
222,222,Naze,NG,2019-11-12 05:35:52,5.43,7.07,74.88,92,96,1.61,overcast clouds,0.0,0.0
223,223,Makakilo City,US,2019-11-12 05:35:52,21.35,-158.09,80.6,78,20,3.36,few clouds,0.0,0.0
