City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
170,Kidal,ML,2019-11-10 03:14:47,18.44,1.41,75.4,27,80,11.45
171,Parrita,CR,2019-11-10 03:14:47,9.52,-84.33,73.4,69,20,10.29
172,San Patricio,PY,2019-11-10 03:14:47,-26.98,-56.83,70.25,96,100,4.36
173,Clyde River,CA,2019-11-10 03:14:48,70.47,-68.59,17.6,85,90,35.57
174,Baruun-Urt,MN,2019-11-10 03:14:48,46.68,113.28,37.8,56,56,9.13
175,Bambous Virieux,MU,2019-11-10 03:14:48,-20.34,57.76,77.0,88,75,3.36
176,Port Macquarie,AU,2019-11-10 03:14:48,-31.43,152.91,79.0,35,75,19.46
177,Callaway,US,2019-11-10 03:14:48,46.98,-95.91,30.2,92,90,14.99
178,Muskogee,US,2019-11-10 03:14:49,35.75,-95.37,57.2,81,1,3.36
179,Sioux Lookout,CA,2019-11-10 03:11:59,50.1,-91.92,19.4,85,90,5.82
180,Smithers,CA,2019-11-10 03:14:49,54.78,-127.17,32.0,91,90,12.75
181,Pingdingshan,CN,2019-11-10 03:14:49,33.74,113.3,69.67,19,0,15.61
182,Ribeira Grande,PT,2019-11-10 03:14:09,38.52,-28.7,61.93,86,31,4.21
183,Bhubaneswar,IN,2019-11-10 03:14:49,20.26,85.84,78.8,74,40,10.29
184,Sitka,US,2019-11-10 03:14:50,37.17,-99.65,50.0,38,0,3.0
185,Luderitz,NA,2019-11-10 03:14:50,-26.65,15.16,60.8,87,20,11.41
186,Saint-Augustin,CA,2019-11-10 03:14:50,45.63,-73.98,36.0,59,90,10.29
187,Nizhniy Ingash,RU,2019-11-10 03:14:50,56.2,96.53,13.33,60,100,10.58
188,Mali,CN,2019-11-10 03:14:50,27.53,102.2,49.5,97,100,2.82
189,Pisco,PE,2019-11-10 03:14:51,-13.71,-76.2,64.4,77,31,10.29
190,Joshimath,IN,2019-11-10 03:14:51,30.57,79.57,49.42,17,0,1.45
191,Tarauaca,BR,2019-11-10 03:14:51,-8.16,-70.77,75.47,84,74,2.44
192,Osa,RU,2019-11-10 03:14:52,57.28,55.46,22.84,68,100,2.53
193,Belaya Gora,RU,2019-11-10 03:14:52,68.54,146.19,-6.09,97,89,3.18
194,Half Moon Bay,US,2019-11-10 03:14:53,37.46,-122.43,59.0,100,90,6.93
195,Richards Bay,ZA,2019-11-10 03:14:53,-28.77,32.06,68.5,80,98,16.84
196,Pidhorodna,UA,2019-11-10 03:14:53,48.11,30.89,52.5,92,50,11.68
197,Constantine,DZ,2019-11-10 03:14:53,36.36,6.61,39.2,80,40,3.36
198,Benghazi,LY,2019-11-10 03:14:54,32.12,20.07,71.55,45,100,11.18
199,Isangel,VU,2019-11-10 03:14:54,-19.55,169.27,84.2,58,75,9.17
200,Kishi,NG,2019-11-10 03:14:55,9.08,3.85,75.65,57,25,2.28
201,Luanda,AO,2019-11-10 03:13:22,-8.83,13.24,80.6,78,75,6.93
